1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,singer,song
0.9932721,1.117585,0.396976,-0.7200111,-1.0462081,-0.45937175,-0.22826037,1.293695,-0.13621545,0.31955716,-0.6031653,0.5403522,-0.43891,1.0678388,-0.046350468,0.4592905,-0.11451047,-0.78654224,0.40475953,-0.74859035,-0.48165983,0.5038612,0.8422691,-0.10005132,-0.93839777,0.46517906,-0.88540137,0.028607538,-0.004484484,0.16749145,0.4003838,0.33220032,0.6137458,-0.49901488,-0.51287985,-0.33818617,0.7301826,0.13333994,-0.14347695,0.40071455,0.5719796,-0.60190386,-0.4337511,-0.010647934,0.35639277,0.5853169,0.64072514,0.17100057,-0.23183075,-0.113644,1910 fruitgum company,simon says
0.30984384,0.38973814,-0.8763588,-0.7604168,-1.0877842,0.0691059,-0.4398887,0.507434,0.42804554,-0.14348158,-0.23693314,-0.27989832,0.24031672,0.72342974,-0.6447809,0.267146,-0.70335484,0.02400865,-0.9020436,-0.4325992,0.17355795,0.4358978,1.5984619,-0.8652168,0.3483096,1.0737643,0.31629416,-0.40226,-0.8885601,0.1302715,-0.08545224,-0.06680917,0.4345338,-0.44663706,0.3052111,-0.27960068,-0.035388563,0.29230335,-0.2031977,0.34624952,0.6698285,0.02554633,0.12897034,-0.33038643,0.16843383,0.22771506,0.45712066,1.0218761,-0.09567331,-0.4357913,2 unlimited,get ready for this
-0.63480085,0.47522524,-0.44270512,-1.3770304,-1.8086672,-0.38153508,0.2969633,1.4936291,-0.27930728,-0.07454759,-0.17234567,-0.49314916,-0.48718604,0.5502372,0.028506465,0.037416432,-0.04853,-0.22125843,-1.0001343,0.78349566,0.35237572,0.5362713,0.12397031,-0.06403741,-0.32110992,0.5257362,0.59242886,0.10237005,-0.45680878,-0.33566207,0.43380067,-0.59051,-0.19653246,0.19529265,-0.49997276,0.2784842,0.61321443,0.083336174,-0.28332102,-0.40089935,0.72686636,0.01653463,0.10355946,-0.6570766,-0.3804608,1.0624408,0.6027147,0.7536904,0.19952637,-0.50568205,2 unlimited,let the beat control your body
0.020691428,-0.10611103,-0.87155885,-0.9838623,-0.28056246,-1.397446,0.34311727,0.15957911,0.027014721,-0.6295783,-0.3249541,0.26102304,-0.32269728,0.2979926,-0.9728806,0.8365861,-0.19001602,-0.7934027,-1.1244491,0.7567938,0.19927901,0.18445261,0.50355995,-0.33173183,-0.33487895,-0.31929255,1.146006,-0.027042173,-0.057618,-0.15627049,-0.16561566,-0.39304304,0.10040241,-0.86942345,-0.116969936,0.43377882,-0.21268861,0.09798305,0.45525846,0.49188682,0.88485664,0.32889006,-0.42918286,-0.5229692,-0.18887317,0.70255786,0.6790061,-0.20017502,0.70858777,0.1531394,2 unlimited,tribal dance
-0.6982759,1.245814,-0.8153686,-0.95245916,-1.572708,-0.5965306,-0.15200312,0.096590735,-0.39570844,-0.41057578,0.87345594,-0.31456524,0.03282653,0.8943563,0.21616204,-0.18203439,-0.72285616,-0.47520527,0.42309368,-0.23016782,0.7458699,0.9529023,0.75558186,-0.53647906,-0.80360156,-0.69666016,0.67621285,-0.14521122,0.06352476,0.41675237,-0.87725776,-0.5265411,0.28084278,-0.39176863,0.34535706,0.027994823,0.5103783,-0.22300039,-0.5162817,-0.86718124,0.24082847,-0.3041997,0.58765304,-0.53642845,0.5367947,-0.023716656,0.19199264,0.07515501,0.67629737,-0.0052933125,2 unlimited,twilight zone
0.067155786,0.2853898,0.014473684,-0.8888237,0.08833154,-0.49051425,0.47024217,0.5171939,-0.30571058,-0.5819064,-0.60667354,0.036039684,-0.7800959,0.066247046,-0.46636683,0.47788054,0.5196395,0.7769821,-0.84570867,0.2654256,-0.6620417,1.2491883,1.4802603,0.141711,0.53422755,0.47418272,-0.5096552,0.810674,0.84727925,-0.70710915,0.31887925,-0.9409503,0.94937664,-0.7364012,0.27744558,1.1502476,0.9128607,0.39526352,-0.65814304,0.45725515,0.2486252,0.627849,0.15408857,0.15768981,0.40177378,1.2111973,0.1038806,-0.011742475,1.0553241,0.9084681,38 special,caught up in you
0.4215493,0.8628959,-0.21767174,0.3217803,-0.7173625,-1.0484986,0.88254,0.80708677,-0.29936346,-0.955862,0.61234677,-0.11223582,0.122189336,0.15036123,-0.46512634,-0.51907265,0.6876176,0.10444342,-0.80087423,-0.37663764,-0.2370462,1.0885149,0.9968964,-0.39697018,0.4254719,0.12115872,-0.083596066,0.5397954,-1.2745318,-0.47159293,0.8713099,-0.86835724,0.20287149,0.64815694,0.1292574,0.06636336,0.017101359,0.8527736,-0.83990955,-0.8475235,0.0065979953,-0.16552907,0.5665076,-0.2425987,0.75712043,0.47415408,-0.6003156,0.25545806,0.3836882,1.0851712,38 special,fantasy girl
-0.49610934,0.49370357,0.03965943,-0.9873847,-0.4107576,-0.13790041,-0.44408137,0.3114821,-0.26493406,-0.4976853,-1.0370723,0.38253313,-0.5941588,0.3215327,-0.01946495,0.35784408,-1.2483461,-0.3844189,-0.97511315,-0.3159392,-0.20946667,0.060289454,0.88576454,-0.31309855,-0.031290475,0.26415852,-0.86091423,-0.072454534,-0.9504707,0.048242427,-0.16247557,-1.0027573,0.87615126,-0.13316974,0.2804386,0.47720754,-0.42750558,-0.39158165,0.17447886,-0.1749605,1.2254536,-0.7978335,0.3609915,-0.89384764,0.25674474,0.36734352,0.6220075,-0.5338387,0.03255695,0.07655876,5ive,if ya gettin down
0.3119986,0.19903414,-1.3758761,-0.5438993,0.1040624,-0.5461874,-0.44110942,0.42256975,-0.17199045,0.09108216,0.5720564,-0.22123718,0.31420657,-0.15130608,-0.9946159,0.6908155,-0.15233532,-0.6775907,-0.60679823,0.30212998,-0.44843152,-0.13264696,1.5164158,-0.7825098,-0.74925286,0.55379593,0.023588723,0.2072401,-1.14345,-0.27181324,-0.37065428,-0.48220596,0.29362747,-0.065578006,-0.15885676,-0.0032665234,0.020891517,-0.41252857,-0.464866,-0.16831705,0.419786,-0.53668016,0.57312495,-0.42404917,1.159581,0.23419215,0.07682256,0.40034646,0.6100965,-0.42135933,5ive,slam dunk da funk
-0.0041773263,-0.0039702817,-0.20194013,-0.5699028,0.6347126,-0.7685384,-0.20376348,0.82863307,-0.54435605,0.20770754,-1.0966499,-0.3839741,-1.4751289,0.3728801,0.6325849,0.25056028,-0.092654735,0.26977724,-0.6143511,0.19316556,-0.19274671,-0.067202255,1.0678148,-0.16701835,-0.29976588,1.6398236,-0.61693674,-0.032955647,-0.89139336,0.5531022,0.1553913,-0.5133244,0.40953043,-0.14565483,-0.16265833,-0.09890772,0.73113835,1.1052084,-0.07194791,-0.20418319,0.07225464,-0.65746194,0.012759543,0.05818193,0.5388977,-0.0818066,0.042075604,0.7635235,1.1604729,-0.17395096,5ive,until the time is through
